class,precision,recall,f1-score,support,f0.5-score,model
clothing~sweaters & knitwear~cardigans,0.9120689655172414,0.9463327370304114,0.9288849868305531,559,0.9187217783952761,bert
clothing~sweaters & knitwear~hoodies,0.9515757109915449,0.9656786271450858,0.9585753000387146,2564,0.9543632439099599,bert
clothing~sweaters & knitwear~jumpers,0.9413020277481323,0.9083419155509783,0.9245283018867924,2913,0.9345200254291163,bert
clothing~sweaters & knitwear~n/d,0.0,0.0,0.0,41,,bert
clothing~sweaters & knitwear~sweatshirts,0.8669995460735361,0.9235976789168279,0.8944041208147975,2068,0.8777573529411764,bert
clothing~suits~single breasted suits,0.9559902200488998,0.9654320987654321,0.9606879606879607,405,0.9578637922586968,bert
clothing~t-shirts & vests~n/d,0.0,0.0,0.0,64,,bert
clothing~t-shirts & vests~vests & tanks,0.7269076305220884,0.9095477386934674,0.8080357142857144,199,0.7573221757322175,bert
clothing~tops~polo tops,0.5745454545454546,0.8540540540540541,0.6869565217391305,185,0.6147859922178989,bert
clothing~tops~cardigans,0.2857142857142857,0.031746031746031744,0.057142857142857134,63,0.10989010989010989,bert
clothing~tops~hoodies,0.8920606601248885,0.9057971014492754,0.8988764044943821,1104,0.8947745168217608,bert
clothing~tops~n/d,0.0,0.0,0.0,53,,bert
clothing~tops~shirts,0.9479704797047971,0.9267676767676768,0.9372491791317038,2772,0.9436526594181605,bert
clothing~tops~sweatshirts,0.9148753224419605,0.877164056059357,0.8956228956228957,1213,0.9070758738277919,bert
clothing~tops~t-shirts & jerseys,0.913425620742694,0.8528929011079196,0.8821220159151194,4874,0.9006413034058411,bert
clothing~tops~tunics & kaftans,0.38405797101449274,0.6708860759493671,0.48847926267281105,79,0.41996830427892234,bert
clothing~tops~vests & tank tops,0.7033852767329393,0.7232044198895028,0.7131571778806864,1810,0.7072617246596067,bert
clothing~suits~double  breasted suits,0.8333333333333334,0.9459459459459459,0.8860759493670887,37,0.853658536585366,bert
clothing~tops~blouses,0.8335689045936395,0.8040218132242672,0.81852879944483,2934,0.8274870211870353,bert
clothing~skirts~straight skirts,0.36160714285714285,0.2647058823529412,0.30566037735849055,306,0.3369384359400998,bert
clothing~knitwear~knitted tops,0.711287577992059,0.7149372862029647,0.7131077622974127,1754,0.7120145355439473,bert
clothing~skirts~pencil skirts,0.8358974358974359,0.6546184738955824,0.7342342342342343,249,0.7920310981535471,bert
clothing~trousers~chinos,0.8427787934186471,0.8916827852998066,0.8665413533834587,517,0.8521256931608133,bert
clothing~knitwear~knitted trousers,0.33618233618233617,0.7065868263473054,0.4555984555984556,167,0.37555697008274985,bert
clothing~polo shirts~n/d,0.9820236260914227,0.9795081967213115,0.9807642985380867,1952,0.9815195071868582,bert
clothing~shirts~n/d,0.9777511961722488,0.9650531286894923,0.9713606654783125,4235,0.9751849200668099,bert
clothing~shorts~bermuda shorts,0.7264150943396226,0.7623762376237624,0.7439613526570047,606,0.7333333333333332,bert
